p1 p2 p3 <I> <I^2>
0.1 0.5 0.55 0.0 0.0
0.1 0.5 0.6000000000000001 0.0 0.0
0.1 0.5 0.65 0.0 0.0
0.1 0.5 0.7000000000000001 0.0 0.0
0.1 0.5 0.75 0.0 0.0
0.1 0.5 0.8 0.0 0.0
0.1 0.5 0.8500000000000001 0.0 0.0
0.1 0.5 0.9 0.0 0.0
0.1 0.5 0.9500000000000001 0.0 0.0
0.1 0.5 1.0 0.0 0.0
0.05 0.5 0.0 0.0 0.0
0.05 0.5 0.05 0.0 0.0
0.05 0.5 0.1 0.0 0.0
0.05 0.5 0.15000000000000002 0.0 0.0
0.05 0.5 0.2 0.0 0.0
0.05 0.5 0.25 0.0 0.0
0.05 0.5 0.30000000000000004 0.0 0.0
0.05 0.5 0.35000000000000003 0.0 0.0
0.05 0.5 0.4 0.0 0.0
0.05 0.5 0.45 0.0 0.0
0.05 0.5 0.5 0.0 0.0
0.05 0.5 0.55 0.0 0.0
0.05 0.5 0.6000000000000001 0.0 0.0
0.05 0.5 0.65 0.0 0.0
0.05 0.5 0.7000000000000001 0.0 0.0
0.05 0.5 0.75 0.0 0.0
0.05 0.5 0.8 0.0 0.0
0.05 0.5 0.8500000000000001 0.0 0.0
0.05 0.5 0.9 0.0 0.0
0.05 0.5 0.9500000000000001 0.0 0.0
0.05 0.5 1.0 0.0 0.0
0.0 0.5 0.0 0.0 0.0
0.0 0.5 0.05 0.0 0.0
0.0 0.5 0.1 0.0 0.0
0.0 0.5 0.15000000000000002 0.0 0.0
0.0 0.5 0.2 0.0 0.0
0.0 0.5 0.25 0.0 0.0
0.0 0.5 0.30000000000000004 0.0 0.0
0.0 0.5 0.35000000000000003 0.0 0.0
0.0 0.5 0.4 0.0 0.0
0.0 0.5 0.45 0.0 0.0
0.0 0.5 0.5 0.0 0.0
0.0 0.5 0.55 0.0 0.0
0.0 0.5 0.6000000000000001 0.0 0.0
0.0 0.5 0.65 0.0 0.0
0.0 0.5 0.7000000000000001 0.0 0.0
0.0 0.5 0.75 0.0 0.0
0.0 0.5 0.8 0.0 0.0
0.0 0.5 0.8500000000000001 0.0 0.0
0.0 0.5 0.9 0.0 0.0
0.0 0.5 0.9500000000000001 0.0 0.0
0.0 0.5 1.0 0.0 0.0
